Grouping;species;labelit;rank;abundance;proportion;plower;pupper;accumfreq;logabun;rankfreq
Yes;Juncus.effusus;FALSE;15;6;2,1;-1,1;5,3;75,4;0,8;37,5
Yes;Hypericum.maculatum;FALSE;16;5;1,8;-1,1;4,6;77,2;0,7;40
Yes;Leucanthemum.vulgare;FALSE;17;5;1,8;0;3,5;78,9;0,7;42,5
Yes;Rumex.acetosa;FALSE;18;5;1,8;-0,8;4,3;80,7;0,7;45
Yes;Cirsium.arvense;FALSE;19;4;1,4;-1,5;4,3;82,1;0,6;47,5
Yes;Juncus.conglomeratus;FALSE;20;4;1,4;-0,8;3,6;83,5;0,6;50
Yes;Lathyrus.linifolius;FALSE;21;4;1,4;-0,9;3,7;84,9;0,6;52,5
Yes;Melampyrum.sylvaticum;FALSE;22;4;1,4;-1,8;4,6;86,3;0,6;55
Yes;Stellaria.graminea;FALSE;23;4;1,4;-1,8;4,6;87,7;0,6;57,5
Yes;Trifolium.hybridum;FALSE;24;4;1,4;-1,1;3,9;89,1;0,6;60
Yes;Alchemilla.vulgaris;FALSE;25;3;1,1;-1,4;3,5;90,2;0,5;62,5
Yes;Argentina.anserina;FALSE;26;3;1,1;-1,4;3,5;91,2;0,5;65
Yes;Erigeron.acris;FALSE;27;3;1,1;-1,1;3,2;92,3;0,5;67,5
Yes;Luzula.multiflora;FALSE;28;3;1,1;-1,4;3,5;93,3;0,5;70
Yes;Lychnis.flos.cuculi;FALSE;29;3;1,1;-1,1;3,2;94,4;0,5;72,5
Yes;Tussilago.farfara;FALSE;30;3;1,1;-1,3;3,4;95,4;0,5;75
Yes;Campanula.persicifolia;FALSE;31;2;0,7;-0,3;1,7;96,1;0,3;77,5
Yes;Lotus.corniculatus;FALSE;32;2;0,7;-0,8;2,2;96,8;0,3;80
Yes;Veronica.chamaedrys;FALSE;33;2;0,7;-0,9;2,3;97,5;0,3;82,5
Yes;Hieracium.umbellatum;FALSE;34;1;0,4;-0,4;1,1;97,9;0;85
Yes;Knautia.arvensis;FALSE;35;1;0,4;-0,4;1,1;98,2;0;87,5
Yes;Luzula.pallescens;FALSE;36;1;0,4;-0,5;1,2;98,6;0;90
Yes;Luzula.pilosa;FALSE;37;1;0,4;-0,3;1;98,9;0;92,5
Yes;Plantago.lanceolata;FALSE;38;1;0,4;-0,4;1,1;99,3;0;95
Yes;Trifolium.repens;FALSE;39;1;0,4;-0,4;1,1;99,6;0;97,5
Yes;Viola.riviniana;FALSE;40;1;0,4;-0,5;1,2;100;0;100
