Grouping;species;labelit;rank;abundance;proportion;plower;pupper;accumfreq;logabun;rankfreq
Yes;Vaccinium.vitis.idaea;FALSE;19;16;1,7;-1,7;5,1;67,4;1,2;20,9
Yes;Cirsium.heterophyllum;FALSE;20;12;1,3;-1,3;3,8;68,7;1,1;22
Yes;Leucanthemum.vulgare;FALSE;21;12;1,3;0,4;2,1;69,9;1,1;23,1
Yes;Viola.canina;FALSE;22;12;1,3;-1,1;3,6;71,2;1,1;24,2
Yes;Alchemilla.vulgaris;FALSE;23;11;1,1;-0,7;2,9;72,3;1;25,3
Yes;Geum.urbanum;FALSE;24;11;1,1;-1;3,3;73,5;1;26,4
Yes;Cerastium.fontanum;FALSE;25;10;1;-0,4;2,5;74,5;1;27,5
Yes;Rumex.acetosa;FALSE;26;10;1;-0,1;2,2;75,6;1;28,6
Yes;Solidago.canadensis;FALSE;27;9;0,9;-1,1;2,9;76,5;1;29,7
Yes;Veronica.chamaedrys;FALSE;28;9;0,9;-0,6;2,5;77,5;1;30,8
Yes;Viola.riviniana;FALSE;29;9;0,9;-0,4;2,3;78,4;1;31,9
Yes;Achillea.ptarmica;FALSE;30;8;0,8;-0,9;2,5;79,2;0,9;33
Yes;Tussilago.farfara;FALSE;31;8;0,8;-0,2;1,8;80,1;0,9;34,1
Yes;Calluna.vulgaris;FALSE;32;7;0,7;-0,4;1,8;80,8;0,8;35,2
Yes;Hieracium.sect..Hieracium.agg.;FALSE;33;7;0,7;-0,8;2,2;81,5;0,8;36,3
Yes;Athyrium.filix.femina;FALSE;34;6;0,6;-0,6;1,9;82,2;0,8;37,4
Yes;Campanula.persicifolia;FALSE;35;6;0,6;0;1,3;82,8;0,8;38,5
Yes;Geum.rivale;FALSE;36;6;0,6;-0,3;1,6;83,4;0,8;39,6
Yes;Hieracium.sect..Tridentata;FALSE;37;6;0,6;-0,5;1,7;84;0,8;40,7
Yes;Hypericum.maculatum;FALSE;38;6;0,6;-0,2;1,5;84,7;0,8;41,8
Yes;Juncus.effusus;FALSE;39;6;0,6;-0,4;1,6;85,3;0,8;42,9
Yes;Lathyrus.linifolius;FALSE;40;6;0,6;-0,2;1,4;85,9;0,8;44
Yes;Pilosella.officinarum;FALSE;41;6;0,6;-0,7;1,9;86,5;0,8;45,1
Yes;Trifolium.repens;FALSE;42;6;0,6;-0,2;1,5;87,2;0,8;46,2
Yes;Galium.boreale;FALSE;43;5;0,5;-0,4;1,4;87,7;0,7;47,3
Yes;Hieracium.umbellatum;FALSE;44;5;0,5;-0,2;1,2;88,2;0,7;48,4
Yes;Solidago.virgaurea;FALSE;45;5;0,5;-0,5;1,6;88,7;0,7;49,5
Yes;Veronica.arvensis;FALSE;46;5;0,5;-0,5;1,5;89,2;0,7;50,5
Yes;Aethusa.cynapium;FALSE;47;4;0,4;-0,4;1,3;89,7;0,6;51,6
Yes;Carex.leporina;FALSE;48;4;0,4;-0,4;1,2;90,1;0,6;52,7
Yes;Juncus.conglomeratus;FALSE;49;4;0,4;-0,3;1,1;90,5;0,6;53,8
Yes;Melampyrum.sylvaticum;FALSE;50;4;0,4;-0,5;1,3;90,9;0,6;54,9
Yes;Plantago.major;FALSE;51;4;0,4;-0,4;1,2;91,3;0,6;56
Yes;Potentilla.reptans;FALSE;52;4;0,4;-0,5;1,3;91,8;0,6;57,1
Yes;Stellaria.graminea;FALSE;53;4;0,4;-0,5;1,3;92,2;0,6;58,2
Yes;Tragopogon.pratensis;FALSE;54;4;0,4;-0,1;0,9;92,6;0,6;59,3
Yes;Urtica.dioica;FALSE;55;4;0,4;-0,5;1,3;93;0,6;60,4
Yes;Argentina.anserina;FALSE;56;3;0,3;-0,4;1;93,3;0,5;61,5
Yes;Erigeron.acris;FALSE;57;3;0,3;-0,3;1;93,6;0,5;62,6
Yes;Filipendula.ulmaria;FALSE;58;3;0,3;-0,3;0,9;93,9;0,5;63,7
Yes;Geranium.sylvaticum;FALSE;59;3;0,3;-0,3;1;94,3;0,5;64,8
Yes;Lotus.corniculatus;FALSE;60;3;0,3;-0,2;0,8;94,6;0,5;65,9
Yes;Luzula.multiflora;FALSE;61;3;0,3;-0,4;1;94,9;0,5;67
Yes;Lychnis.flos.cuculi;FALSE;62;3;0,3;-0,3;1;95,2;0,5;68,1
Yes;Noccaea.caerulescens;FALSE;63;3;0,3;-0,2;0,8;95,5;0,5;69,2
Yes;Rumex.acetosella;FALSE;64;3;0,3;-0,2;0,8;95,8;0,5;70,3
Yes;Scorzoneroides.autumnalis;FALSE;65;3;0,3;-0,3;1;96,1;0,5;71,4
Yes;Veronica.beccabunga;FALSE;66;3;0,3;-0,3;0,9;96,5;0,5;72,5
Yes;Campanula.patula;FALSE;67;2;0,2;-0,2;0,6;96,7;0,3;73,6
Yes;Carex.flacca;FALSE;68;2;0,2;-0,2;0,6;96,9;0,3;74,7
Yes;Carex.flava;FALSE;69;2;0,2;-0,2;0,6;97,1;0,3;75,8
Yes;Cota.tinctoria;FALSE;70;2;0,2;-0,2;0,6;97,3;0,3;76,9
Yes;Paris.quadrifolia;FALSE;71;2;0,2;-0,2;0,6;97,5;0,3;78
Yes;Pilosella.cymosa;FALSE;72;2;0,2;-0,1;0,5;97,7;0,3;79,1
Yes;Pimpinella.saxifraga;FALSE;73;2;0,2;-0,2;0,6;97,9;0,3;80,2
Yes;Sagina.procumbens;FALSE;74;2;0,2;-0,2;0,6;98,1;0,3;81,3
Yes;Succisa.pratensis;FALSE;75;2;0,2;-0,2;0,6;98,3;0,3;82,4
Yes;Chamaenerion.angustifolium;FALSE;76;1;0,1;-0,1;0,3;98,4;0;83,5
Yes;Equisetum;FALSE;77;1;0,1;-0,1;0,3;98,5;0;84,6
Yes;Hieracium.sect..Bifida;FALSE;78;1;0,1;-0,1;0,3;98,6;0;85,7
Yes;Knautia.arvensis;FALSE;79;1;0,1;-0,1;0,3;98,7;0;86,8
Yes;Lapsana.communis;FALSE;80;1;0,1;-0,1;0,3;98,9;0;87,9
Yes;Luzula.pallescens;FALSE;81;1;0,1;-0,1;0,3;99;0;89
Yes;Luzula.pilosa;FALSE;82;1;0,1;-0,1;0,3;99,1;0;90,1
Yes;Maianthemum.bifolium;FALSE;83;1;0,1;-0,1;0,3;99,2;0;91,2
Yes;Myosotis.arvensis;FALSE;84;1;0,1;-0,1;0,3;99,3;0;92,3
Yes;Myosotis.scorpioides;FALSE;85;1;0,1;-0,1;0,3;99,4;0;93,4
Yes;Plantago.lanceolata;FALSE;86;1;0,1;-0,1;0,3;99,5;0;94,5
Yes;Rubus.idaeus;FALSE;87;1;0,1;-0,1;0,3;99,6;0;95,6
Yes;Sonchus.oleraceus;FALSE;88;1;0,1;-0,1;0,3;99,7;0;96,7
Yes;Vaccinium.uliginosum;FALSE;89;1;0,1;-0,1;0,3;99,8;0;97,8
Yes;Vicia.sepium;FALSE;90;1;0,1;-0,1;0,3;99,9;0;98,9
Yes;Vicia.tetrasperma;FALSE;91;1;0,1;-0,1;0,3;100;0;100
