County;Site;parnr;Lupin;Species;Swedish.name.x;Occ;Veghgt.avg;Litt.avg;Time.of.immigration;Index.of.invasive.concern;Biodiversity.relevance;Nectar.production;Heat.requirement;Cold.requirement;Temp..optimum;Continentality;Light;Moisture;Soil.reaction..pH.;Nitrogen..N.;Phosphorus..P.;Salinity;Grazing.mowing;Soil.disturbance;Longevity;Pollinator.dependence;Phenology;Extreme.phenology;Seed.dormancy;Seed.bank;Seed.disperser;Nitrogen.fixation;Photosynthetic.pathway;Mycorrhiza;Carnivory;Parasitism;X1.Siliceous.rock;X2.Ultrabasic.rock;X3.Calcareous.rock;X4.Dry.heath;X5..Dry.meadow;X6.Steppic.meadow;X7.Sand.steppe;Swedish.name.y;Family;Dataset;Distribution.in.all.counties;Missing.county;Status;Medelhöjd..cm.;Träd;Management.dependent
Uppsala;Backa;1;Yes;Fragaria vesca;Smultron;7;76,25;2,2;0;0;5;3;4;2;7;4;4;4;5;4;3;2;5;4;4;1;6;3;;4;Bird;0;C3;AM;0;0;0;1;1;1;1;0;0;Smultron;Rosaceae;Uppland;yes;;LC;12,5;0;0
Uppsala;Backa;1;Yes;Hieracium umbellatum;Flockfibbla;2;76,25;2,2;0;0;4;5;5;3;8;5;6;3;4;4;3;2;3;5;4;1;10;3;;2;AirP;0;C3;AM;0;0;1;1;0;1;1;0;0;Flockfibbla;Asteraceae;Uppland;yes;;LC;52,5;0;0
Uppsala;Backa;1;Yes;Lathyrus linifolius;Gökärt;1;76,25;2,2;0;0;4;5;9;4;7;4;4;3;3;3;4;1;5;3;4;2a;6;3;3;2;Expl;1;C3;AM;0;0;1;0;0;2;2;0;0;Gökärt;Fabaceae;Uppland;yes;;LC;25;0;1
Uppsala;Backa;1;Yes;Lupinus polyphyllus;Blomsterlupin;16;76,25;2,2;4;18,1;2;5;6;4;8;4;5;3;2;2;4;1;2;2;4;1a;7;2;2;3;Expl;1;C3;None;0;0;0;0;0;0;0;0;0;Lupin;Fabaceae;Uppland;yes;;;85;0;-1
Uppsala;Backa;1;Yes;Luzula pilosa;Vårfryle;2;76,25;2,2;0;0;4;1;4;4;9;5;3;4;2;4;3;1;4;4;4;0b;3;6;2;4;Myr;0;C3;None;0;0;0;0;0;0;0;0;0;Vårfryle;Juncaceae;Uppland;yes;;LC;17,5;0;0
Uppsala;Backa;1;Yes;Noccaea caerulescens;Backskärvfrö;1;76,25;2,2;3;11,6;1;3;3;7;12;7;5;2;4;3;4;1;3;4;3;1;3;6;;NA;Passive;0;C3;None;0;0;0;2;0;0;2;1;0;Backskärvfrö;Brassicaceae;Uppland;yes;;LC;22,5;0;2
Uppsala;Backa;1;Yes;Picea abies;Gran;2;76,25;2,2;0;0;6;1;5;8;11;7;4;6;4;5;2;1;4;1;4;0b;7;2;2;1;AirW;0;C3;EM;0;0;0;0;0;0;0;0;0;Gran;Pinaceae;Uppland;yes;;LC;2650;1;NA
Uppsala;Backa;1;Yes;Prunella vulgaris;Brunört;4;76,25;2,2;0;0;4;5;4;2;7;5;5;6;6;5;2;1;7;6;4;1a;9;2;2;4;Passive;0;C3;AM;0;0;0;0;0;0;0;0;0;Brunört;Lamiaceae;Uppland;yes;;LC;15;0;2
Uppsala;Backa;1;Yes;Ranunculus acris subsp. acris;Smörblomma;1;76,25;2,2;0;0;5;4;2;3;9;5;5;5;4;7;3;2;5;2;4;2;6;3;;2;Passive;0;C3;AM;0;0;0;0;0;0;0;0;0;Vanligsmörblomma;Ranunculaceae;Uppland;yes;;LC;45;0;1
Uppsala;Backa;1;Yes;Rumex acetosa;Ängssyra;1;76,25;2,2;0;0;6;1;2;3;9;5;6;5;5;6;4;2;5;4;4;0b;7;2;;3;Passive;0;C3;None;0;0;0;0;0;1;1;0;0;Ängssyra;Polygonaceae;Uppland;yes;;LC;60;0;1
Uppsala;Backa;1;Yes;Stellaria graminea;Grässtjärnblomma;11;76,25;2,2;0;0;4;3;3;4;10;5;5;4;5;4;3;2;5;3;4;1;7;2;;3;Passive;0;C3;None;0;0;0;1;0;1;1;1;0;Grässtjärnblomma;Caryophyllaceae;Uppland;yes;;LC;20;0;1
Uppsala;Backa;1;Yes;Taraxacum;Maskros;1;76,25;2,2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Maskros;Asteraceae;Uppland;yes;;LC;NA;0;1
Uppsala;Backa;1;Yes;Trifolium pratense;Rödklöver;1;76,25;2,2;0;0;6;6;4;2;7;5;5;5;6;4;3;2;6;4;4;2a;7;2;2;4;Passive;1;C3;AM;0;0;0;0;0;0;1;0;0;Rödklöver;Fabaceae;Uppland;yes;;LC;37,5;0;1
Uppsala;Backa;1;Yes;Veronica chamaedrys;Teveronika;11;76,25;2,2;0;0;4;3;5;3;8;4;4;4;5;5;4;1;5;2;4;1;6;3;;3;Myr;0;C3;AM;0;0;0;0;0;0;2;0;0;Teveronika;Plantaginaceae;Uppland;yes;;LC;20;0;1
Uppsala;Backa;1;Yes;Viola canina;Ängsviol;3;76,25;2,2;0;0;3;3;3;3;9;4;5;4;3;2;4;2;5;3;4;1a;6;3;;3;Expl;0;C3;AM;0;0;1;1;0;2;3;0;0;Ängsviol;Violaceae;Uppland;yes;;LC;12,5;0;0
Uppsala;Backa;2;No;Campanula patula;Ängsklocka;1;38,75;0,4;2;10,4;3;4;5;8;11;8;6;3;4;4;3;1;1;4;2;1a;8;1;;4;Passive;0;C3;AM;0;0;0;0;0;0;2;0;0;Ängsklocka;Campanulaceae;Uppland;yes;;LC;45;0;1
Uppsala;Backa;2;No;Carex leporina;Harstarr;1;38,75;0,4;0;0;4;1;8;3;6;5;4;5;3;4;3;1;4;6;4;0b;7;2;;3;Passive;0;C3;None;0;0;0;0;0;0;0;0;0;Harstarr;Cyperaceae;Uppland;yes;;LC;25;0;0
Uppsala;Backa;2;No;Carex oederi;Ärtstarr;2;38,75;0,4;0;0;4;1;5;4;9;4;6;8;6;2;2;2;6;7;4;0b;7;2;;3;Water;0;C3;None;0;0;0;0;0;0;0;0;0;Ärtstarr;Cyperaceae;Uppland;yes;;LC;14;0;0
Uppsala;Backa;2;No;Carex pallescens;Blekstarr;2;38,75;0,4;0;0;4;1;5;3;8;4;5;5;3;4;4;1;4;6;4;0b;7;2;;3;Passive;0;C3;None;0;0;0;0;0;0;0;0;0;Blekstarr;Cyperaceae;Uppland;yes;;LC;42,5;0;1
Uppsala;Backa;2;No;Cirsium arvense;Åkertistel;2;38,75;0,4;0;0;5;5;6;3;7;5;6;5;5;7;4;2;3;2;4;2;9;2;4;4;AirP;0;C3;AM;0;0;0;0;0;0;0;0;0;Åkertistel;Asteraceae;Uppland;yes;;LC;95;0;-1
Uppsala;Backa;2;No;Equisetum arvense;Åkerfräken;2;38,75;0,4;0;0;1;1;2;3;9;5;5;4;6;5;4;2;3;2;4;0b;5;4;;NA;AirD;0;C3;AM;0;0;0;0;0;0;1;0;0;Åkerfräken;Equisetaceae;Uppland;yes;;LC;30;0;0
Uppsala;Backa;2;No;Filipendula ulmaria;Älggräs;6;38,75;0,4;0;0;4;3;3;4;10;5;5;8;5;8;5;2;3;2;4;1;9;2;4;2;Passive;0;C3;AM;0;0;0;0;0;0;0;0;0;Älggräs;Rosaceae;Värmland;yes;;LC;100;0;0
Uppsala;Backa;2;No;Filipendula ulmaria;Älggräs;6;38,75;0,4;0;0;4;3;3;4;10;5;5;8;5;8;5;2;3;2;4;1;9;2;4;2;Passive;0;C3;AM;0;0;0;0;0;0;0;0;0;Älgört;Rosaceae;Uppland;yes;;LC;100;0;0
Uppsala;Backa;2;No;Fragaria vesca;Smultron;14;38,75;0,4;0;0;5;3;4;2;7;4;4;4;5;4;3;2;5;4;4;1;6;3;;4;Bird;0;C3;AM;0;0;0;1;1;1;1;0;0;Smultron;Rosaceae;Uppland;yes;;LC;12,5;0;0
Uppsala;Backa;2;No;Gallium mollugo;Stormåra;1;38,75;0,4;1;4;5;2;4;2;7;5;5;3;5;5;3;1;3;2;4;1;8;1;;3;Passive;0;C3;AM;0;0;0;1;0;0;1;0;0;Stormåra;Rubiaceae;Uppland;yes;;LC;65;0;0
Uppsala;Backa;2;No;Hieracium umbellatum;Flockfibbla;6;38,75;0,4;0;0;4;5;5;3;8;5;6;3;4;4;3;2;3;5;4;1;10;3;;2;AirP;0;C3;AM;0;0;1;1;0;1;1;0;0;Flockfibbla;Asteraceae;Uppland;yes;;LC;52,5;0;0
Uppsala;Backa;2;No;Lathyrus linifolius;Gökärt;10;38,75;0,4;0;0;4;5;9;4;7;4;4;3;3;3;4;1;5;3;4;2a;6;3;3;2;Expl;1;C3;AM;0;0;1;0;0;2;2;0;0;Gökärt;Fabaceae;Uppland;yes;;LC;25;0;1
Uppsala;Backa;2;No;Lathyrus pratensis;Gulvial;3;38,75;0,4;0;0;5;5;3;2;8;5;6;5;5;5;3;2;3;2;4;2a;9;2;3;2;Expl;1;C3;AM;0;0;0;0;0;0;0;0;0;Gulvial;Fabaceae;Uppland;yes;;LC;60;0;1
Uppsala;Backa;2;No;Lupinus polyphyllus;Blomsterlupin;8;38,75;0,4;4;18,1;2;5;6;4;8;4;5;3;2;2;4;1;2;2;4;1a;7;2;2;3;Expl;1;C3;None;0;0;0;0;0;0;0;0;0;Lupin;Fabaceae;Uppland;yes;;;85;0;-1
Uppsala;Backa;2;No;Luzula pallescens;Blekfryle;1;38,75;0,4;0;0;2;1;5;9;12;8;5;3;3;4;4;1;4;7;3;0b;NA;NA;;4;Myr;0;C3;None;0;0;0;0;0;0;0;0;0;Blekfryle;Juncaceae;Uppland;yes;;LC;20;0;1
Uppsala;Backa;2;No;Luzula pilosa;Vårfryle;9;38,75;0,4;0;0;4;1;4;4;9;5;3;4;2;4;3;1;4;4;4;0b;3;6;2;4;Myr;0;C3;None;0;0;0;0;0;0;0;0;0;Vårfryle;Juncaceae;Uppland;yes;;LC;17,5;0;0
Uppsala;Backa;2;No;Noccaea caerulescens;Backskärvfrö;2;38,75;0,4;3;11,6;1;3;3;7;12;7;5;2;4;3;4;1;3;4;3;1;3;6;;NA;Passive;0;C3;None;0;0;0;2;0;0;2;1;0;Backskärvfrö;Brassicaceae;Uppland;yes;;LC;22,5;0;2
Uppsala;Backa;2;No;Potentilla erecta;Blodrot;7;38,75;0,4;0;0;4;3;3;2;8;4;5;6;4;3;2;1;5;2;4;2;6;3;;4;Passive;0;C3;AM;0;0;0;0;0;1;1;0;0;Blodrot;Rosaceae;Uppland;yes;;LC;30;0;1
Uppsala;Backa;2;No;Ranunculus acris subsp. acris;Smörblomma;4;38,75;0,4;0;0;5;4;2;3;9;5;5;5;4;7;3;2;5;2;4;2;6;3;;2;Passive;0;C3;AM;0;0;0;0;0;0;0;0;0;Vanligsmörblomma;Ranunculaceae;Uppland;yes;;LC;45;0;1
Uppsala;Backa;2;No;Rubus idaeus;Hallon;2;38,75;0,4;0;0;6;5;3;4;10;4;5;5;3;6;5;2;1;6;4;1;7;2;4;4;Bird;0;C3;AM;0;0;1;0;0;0;0;0;0;Hallon;Rosaceae;Uppland;yes;;LC;125;0;-1
Uppsala;Backa;2;No;Rumex acetosa;Ängssyra;1;38,75;0,4;0;0;6;1;2;3;9;5;6;5;5;6;4;2;5;4;4;0b;7;2;;3;Passive;0;C3;None;0;0;0;0;0;1;1;0;0;Ängssyra;Polygonaceae;Uppland;yes;;LC;60;0;1
Uppsala;Backa;2;No;Stellaria graminea;Grässtjärnblomma;2;38,75;0,4;0;0;4;3;3;4;10;5;5;4;5;4;3;2;5;3;4;1;7;2;;3;Passive;0;C3;None;0;0;0;1;0;1;1;1;0;Grässtjärnblomma;Caryophyllaceae;Uppland;yes;;LC;20;0;1
Uppsala;Backa;2;No;Succisa pratensis;Ängsvädd;1;38,75;0,4;0;0;4;6;5;2;7;4;5;6;5;2;3;1;6;4;4;1;11;4;4;2;Adh;0;C3;AM;0;0;0;0;0;0;0;0;0;Ängsvädd;Caprifoliaceae;Uppland;yes;;LC;42,5;0;1
Uppsala;Backa;2;No;Veronica chamaedrys;Teveronika;6;38,75;0,4;0;0;4;3;5;3;8;4;4;4;5;5;4;1;5;2;4;1;6;3;;3;Myr;0;C3;AM;0;0;0;0;0;0;2;0;0;Teveronika;Plantaginaceae;Uppland;yes;;LC;20;0;1
Uppsala;Backa;2;No;Viola canina;Ängsviol;5;38,75;0,4;0;0;3;3;3;3;9;4;5;4;3;2;4;2;5;3;4;1a;6;3;;3;Expl;0;C3;AM;0;0;1;1;0;2;3;0;0;Ängsviol;Violaceae;Uppland;yes;;LC;12,5;0;0
Uppsala;Backa;2;Yes;Cirsium arvense;Åkertistel;1;58,75;1,2;0;0;5;5;6;3;7;5;6;5;5;7;4;2;3;2;4;2;9;2;4;4;AirP;0;C3;AM;0;0;0;0;0;0;0;0;0;Åkertistel;Asteraceae;Uppland;yes;;LC;95;0;-1
Uppsala;Backa;2;Yes;Equisetum arvense;Åkerfräken;1;58,75;1,2;0;0;1;1;2;3;9;5;5;4;6;5;4;2;3;2;4;0b;5;4;;NA;AirD;0;C3;AM;0;0;0;0;0;0;1;0;0;Åkerfräken;Equisetaceae;Uppland;yes;;LC;30;0;0
Uppsala;Backa;2;Yes;Equisetum sylvaticum;Skogsfräken;2;58,75;1,2;0;0;1;1;3;4;10;5;4;5;2;3;2;2;3;2;4;0b;6;3;;NA;AirD;0;C3;AM;0;0;0;0;0;0;0;0;0;Skogsfräken;Equisetaceae;Uppland;yes;;LC;40;0;-1
Uppsala;Backa;2;Yes;Fragaria vesca;Smultron;1;58,75;1,2;0;0;5;3;4;2;7;4;4;4;5;4;3;2;5;4;4;1;6;3;;4;Bird;0;C3;AM;0;0;0;1;1;1;1;0;0;Smultron;Rosaceae;Uppland;yes;;LC;12,5;0;0
Uppsala;Backa;2;Yes;Geum urbanum;Nejlikrot;7;58,75;1,2;0;0;3;2;9;2;5;4;3;4;6;7;3;2;5;6;4;0c;7;2;2;2;Adh;0;C3;AM;0;0;0;0;0;0;0;0;0;Nejlikrot;Rosaceae;Uppland;yes;;LC;50;0;0
Uppsala;Backa;2;Yes;Lathyrus linifolius;Gökärt;2;58,75;1,2;0;0;4;5;9;4;7;4;4;3;3;3;4;1;5;3;4;2a;6;3;3;2;Expl;1;C3;AM;0;0;1;0;0;2;2;0;0;Gökärt;Fabaceae;Uppland;yes;;LC;25;0;1
Uppsala;Backa;2;Yes;Lupinus polyphyllus;Blomsterlupin;16;58,75;1,2;4;18,1;2;5;6;4;8;4;5;3;2;2;4;1;2;2;4;1a;7;2;2;3;Expl;1;C3;None;0;0;0;0;0;0;0;0;0;Lupin;Fabaceae;Uppland;yes;;;85;0;-1
Uppsala;Backa;2;Yes;Ranunculus acris subsp. acris;Smörblomma;2;58,75;1,2;0;0;5;4;2;3;9;5;5;5;4;7;3;2;5;2;4;2;6;3;;2;Passive;0;C3;AM;0;0;0;0;0;0;0;0;0;Vanligsmörblomma;Ranunculaceae;Uppland;yes;;LC;45;0;1
Uppsala;Backa;2;Yes;Ranunculus repens;Revsmörblomma;2;58,75;1,2;0;0;4;3;3;2;8;5;4;7;5;7;4;2;5;4;4;1;7;2;;4;Passive;0;C3;AM;0;0;0;0;0;0;0;0;0;Revsmörblomma;Ranunculaceae;Uppland;yes;;LC;30;0;0
Uppsala;Backa;2;Yes;Rubus idaeus;Hallon;1;58,75;1,2;0;0;6;5;3;4;10;4;5;5;3;6;5;2;1;6;4;1;7;2;4;4;Bird;0;C3;AM;0;0;1;0;0;0;0;0;0;Hallon;Rosaceae;Uppland;yes;;LC;125;0;-1
Uppsala;Backa;2;Yes;Salix aurita;Bindvide;2;58,75;1,2;0;0;7;7;6;4;8;5;6;7;4;4;3;1;2;2;4;2;6;3;;1;AirP;0;C3;AM/EM;0;0;0;0;0;0;0;0;0;Bindvide;Salicaceae;Uppland;yes;;LC;175;1;NA
Uppsala;Backa;2;Yes;Taraxacum;Maskros;7;58,75;1,2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Maskros;Asteraceae;Uppland;yes;;LC;NA;0;1
Uppsala;Backa;2;Yes;Veronica chamaedrys;Teveronika;2;58,75;1,2;0;0;4;3;5;3;8;4;4;4;5;5;4;1;5;2;4;1;6;3;;3;Myr;0;C3;AM;0;0;0;0;0;0;2;0;0;Teveronika;Plantaginaceae;Uppland;yes;;LC;20;0;1
Uppsala;Backa;2;Yes;Viola canina;Ängsviol;4;58,75;1,2;0;0;3;3;3;3;9;4;5;4;3;2;4;2;5;3;4;1a;6;3;;3;Expl;0;C3;AM;0;0;1;1;0;2;3;0;0;Ängsviol;Violaceae;Uppland;yes;;LC;12,5;0;0
Uppsala;Brobacke;1;No;Achillea millefolium;Röllika;3;4,375;0;0;0;6;6;3;3;9;5;6;2;5;5;5;2;5;2;4;2;8;1;2;3;Myr;0;C3;AM;0;0;1;1;1;1;1;1;0;Röllika;Asteraceae;Uppland;yes;;LC;45;0;1
Uppsala;Brobacke;1;No;Achillea ptarmica;Nysört;14;4,375;0;0;0;5;6;4;3;8;4;5;6;4;4;3;1;4;2;4;2;9;2;2;2;Passive;0;C3;AM;0;0;0;0;0;0;0;0;0;Nysört;Asteraceae;Uppland;yes;;LC;40;0;1
Uppsala;Brobacke;1;No;Cirsium arvense;Åkertistel;1;4,375;0;0;0;5;5;6;3;7;5;6;5;5;7;4;2;3;2;4;2;9;2;4;4;AirP;0;C3;AM;0;0;0;0;0;0;0;0;0;Åkertistel;Asteraceae;Uppland;yes;;LC;95;0;-1
Uppsala;Brobacke;1;No;Equisetum arvense;Åkerfräken;2;4,375;0;0;0;1;1;2;3;9;5;5;4;6;5;4;2;3;2;4;0b;5;4;;NA;AirD;0;C3;AM;0;0;0;0;0;0;1;0;0;Åkerfräken;Equisetaceae;Uppland;yes;;LC;30;0;0
Uppsala;Brobacke;1;No;Euphrasia nemorosa;Grå ögontröst;14;4,375;0;0;0;2;4;9;4;7;5;5;5;3;1;2;2;6;7;1;0c;9;2;;2;Passive;0;C3;None;0;1;0;0;0;3;1;0;0;Gråögontröst;Orobanchaceae;Uppland;yes;;LC;12,5;0;2
Uppsala;Brobacke;1;No;Filipendula ulmaria;Älggräs;1;4,375;0;0;0;4;3;3;4;10;5;5;8;5;8;5;2;3;2;4;1;9;2;4;2;Passive;0;C3;AM;0;0;0;0;0;0;0;0;0;Älggräs;Rosaceae;Värmland;yes;;LC;100;0;0
Uppsala;Brobacke;1;No;Filipendula ulmaria;Älggräs;1;4,375;0;0;0;4;3;3;4;10;5;5;8;5;8;5;2;3;2;4;1;9;2;4;2;Passive;0;C3;AM;0;0;0;0;0;0;0;0;0;Älgört;Rosaceae;Uppland;yes;;LC;100;0;0
Uppsala;Brobacke;1;No;Gallium mollugo;Stormåra;9;4,375;0;1;4;5;2;4;2;7;5;5;3;5;5;3;1;3;2;4;1;8;1;;3;Passive;0;C3;AM;0;0;0;1;0;0;1;0;0;Stormåra;Rubiaceae;Uppland;yes;;LC;65;0;0
Uppsala;Brobacke;1;No;Hieracium sect. Tridentata;Styvfibblor;2;4,375;0;0;0;5;5;6;3;7;5;6;3;3;4;3;1;1;4;4;0d;9;2;;2;AirP;0;C3;AM;0;0;0;2;0;2;0;0;0;Styvfibblor;Asteraceae;Uppland;yes;;LC;70;0;0
